screenwell_name	screenwell_catalog_number	screenwell_plate_location	screenwell_smiles	screenwell_iupac	query_compound	pubchem_cid	drugbank_id
Dihydroergotamine Mesylate	AC164	1-C08	C[C@@]1(C(=O)N2[C@H](C(=O)N3CCC[C@H]3[C@@]2(O1)O)CC4=CC=CC=C4)NC(=O)[C@@H]5C[C@H]6[C@@H](CC7=CNC8=CC=CC6=C78)N(C5)C.CS(=O)(=O)O	(4R,7R)-N-[(1S,2S,4R,7S)-7-benzyl-2-hydroxy-4-methyl-5,8-dioxo-3-oxa-6,9-diazatricyclo[7.3.0.0²,⁶]dodecan-4-yl]-6-methyl-6,11-diazatetracyclo[7.6.1.0²,⁷.0¹²,¹⁶]hexadeca-1(16),9,12,14-tetraene-4-carboxamide; methanesulfonic acid	C[C@@]1(C(=O)N2[C@H](C(=O)N3CCC[C@H]3[C@@]2(O1)O)CC4=CC=CC=C4)NC(=O)[C@@H]5C[C@H]6[C@@H](CC7=CNC8=CC=CC6=C78)N(C5)C.CS(=O)(=O)O	71171	
Emtricitabine	DL564	1-C09	C1[C@H](O[C@H](S1)CO)N2C=C(C(=NC2=O)N)F	4-amino-5-fluoro-1-[(2R,5S)-2-(hydroxymethyl)-1,3-oxathiolan-5-yl]pyrimidin-2-one	4-amino-5-fluoro-1-[(2R,5S)-2-(hydroxymethyl)-1,3-oxathiolan-5-yl]pyrimidin-2-one	60877	DB00879
Betaxolol hydrochloride	AC169	1-C10	CC(C)NCC(COC1=CC=C(C=C1)CCOCC2CC2)O.Cl	1-[4-[2-(cyclopropylmethoxy)ethyl]phenoxy]-3-(propan-2-ylamino)propan-2-ol;hydrochloride	1-[4-[2-(cyclopropylmethoxy)ethyl]phenoxy]-3-(propan-2-ylamino)propan-2-ol;hydrochloride	107952	
Caffeine 	550322	1-C11	CN1C=NC2=C1C(=O)N(C(=O)N2C)C	1,3,7-trimethylpurine-2,6-dione	1,3,7-trimethylpurine-2,6-dione	2519	DB00201
Timolol maleate salt	AC172	1-D02	CC(C)(C)NC[C@@H](COC1=NSN=C1N2CCOCC2)O.C(=C\C(=O)O)\C(=O)O	(Z)-but-2-enedioic acid;(2S)-1-(tert-butylamino)-3-[(4-morpholin-4-yl-1,2,5-thiadiazol-3-yl)oxy]propan-2-ol	(Z)-but-2-enedioic acid;(2S)-1-(tert-butylamino)-3-[(4-morpholin-4-yl-1,2,5-thiadiazol-3-yl)oxy]propan-2-ol	329565	
Salbutamol Hemisulfate	AC176	1-D03	CC(C)(C)NCC(C1=CC(=C(C=C1)O)CO)O.CC(C)(C)NCC(C1=CC(=C(C=C1)O)CO)O.OS(=O)(=O)O	4-[2-(tert-butylamino)-1-hydroxyethyl]-2-(hydroxymethyl)phenol;sulfuric acid	4-[2-(tert-butylamino)-1-hydroxyethyl]-2-(hydroxymethyl)phenol;sulfuric acid	39859	
Pindolol	AC181	1-D04	CC(C)NCC(COC1=CC=CC2=C1C=CN2)O	1-(1H-indol-4-yloxy)-3-(propan-2-ylamino)propan-2-ol	1-(1H-indol-4-yloxy)-3-(propan-2-ylamino)propan-2-ol	4828	DB00960
Dobutamine·HCl	AC185	1-D05	CC(CCC1=CC=C(C=C1)O)NCCC2=CC(=C(C=C2)O)O.Cl	4-[2-[4-(4-hydroxyphenyl)butan-2-ylamino]ethyl]benzene-1,2-diol;hydrochloride	4-[2-[4-(4-hydroxyphenyl)butan-2-ylamino]ethyl]benzene-1,2-diol;hydrochloride	65324	
Sotalol·HCl	AC192	1-D06	CC(C)NCC(C1=CC=C(C=C1)NS(=O)(=O)C)O.Cl	N-[4-[1-hydroxy-2-(propan-2-ylamino)ethyl]phenyl]methanesulfonamide;hydrochloride	N-[4-[1-hydroxy-2-(propan-2-ylamino)ethyl]phenyl]methanesulfonamide;hydrochloride	66245	
Maprotiline·HCl	AR111	1-D07	CNCCCC12CCC(C3=CC=CC=C31)C4=CC=CC=C24.Cl	methyl({3-[(1r,8r)-8-hydrogeniotetracyclo[6.6.2.0²,⁷.0⁹,¹⁴]hexadeca-2(7),3,5,9(14),10,12-hexaen-1-yl]propyl})amine hydrochloride	CNCCCC12CCC(C3=CC=CC=C31)C4=CC=CC=C24.Cl	71478	
(+)-Pilocarpine . hydrochloride	550092	1-D08	CC[C@H]1[C@H](COC1=O)CC2=CN=CN2C.Cl	(3S,4R)-3-ethyl-4-[(3-methylimidazol-4-yl)methyl]oxolan-2-one;hydrochloride	(3S,4R)-3-ethyl-4-[(3-methylimidazol-4-yl)methyl]oxolan-2-one;hydrochloride	5909	
Ipratropium . bromide	AC218	1-D09	CC(C)[N+]1(C2CCC1CC(C2)OC(=O)C(CO)C3=CC=CC=C3)C.[Br-]	(8-methyl-8-propan-2-yl-8-azoniabicyclo[3.2.1]octan-3-yl) 3-hydroxy-2-phenylpropanoate;bromide	CC(C)[N+]1(C2CCC1CC(C2)OC(=O)C(CO)C3=CC=CC=C3)C.[Br-]	31098	
Tropicamide	550096	1-D10	CCN(CC1=CC=NC=C1)C(=O)C(CO)C2=CC=CC=C2	N-ethyl-3-hydroxy-2-phenyl-N-(pyridin-4-ylmethyl)propanamide	N-ethyl-3-hydroxy-2-phenyl-N-(pyridin-4-ylmethyl)propanamide	5593	DB00809
Pancuronium . dibromide	AC232	1-D11	CC(=O)O[C@H]1C[C@@H]2CC[C@@H]3[C@@H]([C@]2(C[C@@H]1[N+]4(CCCCC4)C)C)CC[C@]5([C@H]3C[C@@H]([C@@H]5OC(=O)C)[N+]6(CCCCC6)C)C.[Br-].[Br-]	[(2S,3S,5S,8R,9S,10S,13S,14S,16S,17R)-17-acetyloxy-10,13-dimethyl-2,16-bis(1-methylpiperidin-1-ium-1-yl)-2,3,4,5,6,7,8,9,11,12,14,15,16,17-tetradecahydro-1H-cyclopenta[a]phenanthren-3-yl] acetate;dibromide	CC(=O)O[C@H]1C[C@@H]2CC[C@@H]3[C@@H]([C@]2(C[C@@H]1[N+]4(CCCCC4)C)C)CC[C@]5([C@H]3C[C@@H]([C@@H]5OC(=O)C)[N+]6(CCCCC6)C)C.[Br-].[Br-]	27350	
Ivermectin	AC238	1-E02	"CC[C@H](C)[C@@H]1[C@H](CC[C@@]2(O1)C[C@@H]3C[C@H](O2)C/C=C(/[C@H]([C@H](/C=C/C=C/4\CO[C@H]5[C@@]4([C@@H](C=C([C@H]5O)C)C(=O)O3)O)C)O[C@H]6C[C@@H]([C@H]([C@@H](O6)C)O[C@H]7C[C@@H]([C@H]([C@@H](O7)C)O)OC)OC)\C)C
"	(1'R,2R,4'S,5S,6R,8'R,10'E,12'S,13'S,14'E,16'E,20'R,21'R,24'S)-6-[(2S)-butan-2-yl]-21',24'-dihydroxy-12'-{[(2R,4S,5S,6S)-5-{[(2S,4S,5S,6S)-5-hydroxy-4-methoxy-6-methyloxan-2-yl]oxy}-4-methoxy-6-methyloxan-2-yl]oxy}-5,11',13',22'-tetramethyl-3',7',19'-trioxaspiro[oxane-2,6'-tetracyclo[15.6.1.1⁴,⁸.0²⁰,²⁴]pentacosane]-10',14',16',22'-tetraen-2'-one	Ivermectin	6321424	
Haloperidol 	AC250	1-E03	C1CN(CCC1(C2=CC=C(C=C2)Cl)O)CCCC(=O)C3=CC=C(C=C3)F	4-[4-(4-chlorophenyl)-4-hydroxypiperidin-1-yl]-1-(4-fluorophenyl)butan-1-one	4-[4-(4-chlorophenyl)-4-hydroxypiperidin-1-yl]-1-(4-fluorophenyl)butan-1-one	3559	DB00502
Cimetidine	AC280	1-E04	CC1=C(N=CN1)CSCCNC(=NC)NC#N	1-cyano-2-methyl-3-[2-[(5-methyl-1H-imidazol-4-yl)methylsulfanyl]ethyl]guanidine	1-cyano-2-methyl-3-[2-[(5-methyl-1H-imidazol-4-yl)methylsulfanyl]ethyl]guanidine	2756	DB00501
Zonisamide	DL555	1-E05	C1=CC=C2C(=C1)C(=NO2)CS(=O)(=O)N	1,2-benzoxazol-3-ylmethanesulfonamide	1,2-benzoxazol-3-ylmethanesulfonamide	5734	DB00909
Zoledronic Acid Monohydrate	430153	1-E06	C1=CN(C=N1)CC(O)(P(=O)(O)O)P(=O)(O)O.O	(1-hydroxy-2-imidazol-1-yl-1-phosphonoethyl)phosphonic acid;hydrate	(1-hydroxy-2-imidazol-1-yl-1-phosphonoethyl)phosphonic acid;hydrate	121586	
Naltrexone·HCl	AC322	1-E07	C1CC1CN2CC[C@]34[C@@H]5C(=O)CC[C@]3([C@H]2CC6=C4C(=C(C=C6)O)O5)O.Cl	(4R,4aS,7aR,12bS)-3-(cyclopropylmethyl)-4a,9-dihydroxy-2,4,5,6,7a,13-hexahydro-1H-4,12-methanobenzofuro[3,2-e]isoquinoline-7-one;hydrochloride	(4R,4aS,7aR,12bS)-3-(cyclopropylmethyl)-4a,9-dihydroxy-2,4,5,6,7a,13-hexahydro-1H-4,12-methanobenzofuro[3,2-e]isoquinoline-7-one;hydrochloride	5360515	DB00704
Zolmitriptan	DL560	1-E08	CN(C)CCC1=CNC2=C1C=C(C=C2)C[C@H]3COC(=O)N3	(4S)-4-[[3-[2-(dimethylamino)ethyl]-1H-indol-5-yl]methyl]-1,3-oxazolidin-2-one	(4S)-4-[[3-[2-(dimethylamino)ethyl]-1H-indol-5-yl]methyl]-1,3-oxazolidin-2-one	60857	DB00315
Memantine . hydrochloride	550363	1-E09	CC12CC3CC(C1)(CC(C3)(C2)N)C.Cl	"3,5-dimethyladamantan-1-amine;hydrochloride
"	CC12CC3CC(C1)(CC(C3)(C2)N)C.Cl	181458	
Riluzole·HCl	AC501	1-E10	C1=CC2=C(C=C1OC(F)(F)F)SC(=N2)N.Cl	6-(trifluoromethoxy)-1,3-benzothiazol-2-amine;hydrochloride	C1=CC2=C(C=C1OC(F)(F)F)SC(=N2)N.Cl	6419992	
Propofol	400044	1-E11	CC(C)C1=C(C(=CC=C1)C(C)C)O	2,6-di(propan-2-yl)phenol	2,6-di(propan-2-yl)phenol	4943	DB00818
Aminophylline 	AC615	1-F02	CN1C2=C(C(=O)N(C1=O)C)NC=N2.CN1C2=C(C(=O)N(C1=O)C)NC=N2.C(CN)N	1,3-dimethyl-7H-purine-2,6-dione;ethane-1,2-diamine	1,3-dimethyl-7H-purine-2,6-dione;ethane-1,2-diamine	9433	DB01223
Nateglinide	DL561	1-F03	CC(C)C1CCC(CC1)C(=O)N[C@H](CC2=CC=CC=C2)C(=O)O	"(2R)-3-phenyl-2-[(4-propan-2-ylcyclohexanecarbonyl)amino]propanoic acid
"	CC(C)C1CCC(CC1)C(=O)N[C@H](CC2=CC=CC=C2)C(=O)O	5311309	DB00731
(±) Isoproterenol·HCl 	AC729	1-F04	CC(C)NCC(C1=CC(=C(C=C1)O)O)O.Cl	4-[1-hydroxy-2-(propan-2-ylamino)ethyl]benzene-1,2-diol;hydrochloride	CC(C)NCC(C1=CC(=C(C=C1)O)O)O.Cl	5807	
Acetylcholine Chloride	550135	1-F05	CC(=O)OCC[N+](C)(C)C.[Cl-]	[2-(acetyloxy)ethyl]trimethylazanium chloride	CC(=O)OCC[N+](C)(C)C.[Cl-]	6060	
Atropine Sulfate Monohydrate	AC735	1-F06	CN1[C@@H]2CC[C@H]1CC(C2)OC(=O)C(CO)C3=CC=CC=C3.CN1[C@@H]2CC[C@H]1CC(C2)OC(=O)C(CO)C3=CC=CC=C3.O.OS(=O)(=O)O	[(1R,5S)-8-methyl-8-azabicyclo[3.2.1]octan-3-yl] 3-hydroxy-2-phenylpropanoate;sulfuric acid;hydrate	CN1[C@@H]2CC[C@H]1CC(C2)OC(=O)C(CO)C3=CC=CC=C3.CN1[C@@H]2CC[C@H]1CC(C2)OC(=O)C(CO)C3=CC=CC=C3.O.OS(=O)(=O)O	656678	
(R)-(-)-Apomorphine·HCl	AC748	1-F07	CN1CCC2=CC=CC3=C2[C@H]1CC4=C3C(=C(C=C4)O)O.Cl	(6aR)-6-methyl-5,6,6a,7-tetrahydro-4H-dibenzo[de,g]quinoline-10,11-diol;hydrochloride	CN1CCC2=CC=CC3=C2[C@H]1CC4=C3C(=C(C=C4)O)O.Cl	9410	
Chlorpromazine . hydrochloride	270171	1-F08	CN(C)CCCN1C2=CC=CC=C2SC3=C1C=C(C=C3)Cl.Cl	3-(2-chlorophenothiazin-10-yl)-N,N-dimethylpropan-1-amine;hydrochloride	3-(2-chlorophenothiazin-10-yl)-N,N-dimethylpropan-1-amine;hydrochloride	6240	
Fluphenazine dihydrochloride	AC753	1-F09	C1CN(CCN1CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)C(F)(F)F)CCO.Cl.Cl	2-[4-[3-[2-(trifluoromethyl)phenothiazin-10-yl]propyl]piperazin-1-yl]ethanol;dihydrochloride	2-[4-[3-[2-(trifluoromethyl)phenothiazin-10-yl]propyl]piperazin-1-yl]ethanol;dihydrochloride	67356	
Risperidone	AC758	1-F10	CC1=C(C(=O)N2CCCCC2=N1)CCN3CCC(CC3)C4=NOC5=C4C=CC(=C5)F	3-[2-[4-(6-fluoro-1,2-benzoxazol-3-yl)piperidin-1-yl]ethyl]-2-methyl-6,7,8,9-tetrahydropyrido[1,2-a]pyrimidin-4-one	3-[2-[4-(6-fluoro-1,2-benzoxazol-3-yl)piperidin-1-yl]ethyl]-2-methyl-6,7,8,9-tetrahydropyrido[1,2-a]pyrimidin-4-one	5073	DB00734
Diphenhydramine·HCl	AC763	1-F11	CN(C)CCOC(C1=CC=CC=C1)C2=CC=CC=C2.Cl	2-benzhydryloxy-N,N-dimethylethanamine;hydrochloride	2-benzhydryloxy-N,N-dimethylethanamine;hydrochloride	8980	
Promethazine·HCl	AC765	1-G02	CC(CN1C2=CC=CC=C2SC3=CC=CC=C31)N(C)C.Cl	N,N-dimethyl-1-phenothiazin-10-ylpropan-2-amine;hydrochloride	N,N-dimethyl-1-phenothiazin-10-ylpropan-2-amine;hydrochloride	6014	
Ranitidine·HCl	AC766	1-G03	CN/C(=C/[N+](=O)[O-])/NCCSCC1=CC=C(O1)CN(C)C.Cl	(Z)-1-N'-[2-[[5-[(dimethylamino)methyl]furan-2-yl]methylsulfanyl]ethyl]-1-N-methyl-2-nitroethene-1,1-diamine;hydrochloride			
Epinephrine Bitartrate	AC808	1-G04	CNC[C@@H](C1=CC(=C(C=C1)O)O)O.[C@@H]([C@H](C(=O)O)O)(C(=O)O)O	(2R,3R)-2,3-dihydroxybutanedioic acid;4-[(1R)-1-hydroxy-2-(methylamino)ethyl]benzene-1,2-diol	(2R,3R)-2,3-dihydroxybutanedioic acid;4-[(1R)-1-hydroxy-2-(methylamino)ethyl]benzene-1,2-diol	5815	
L-Norepinephrine bitartrate monohydrate	550076	1-G05	C1=CC(=C(C=C1[C@H](CN)O)O)O.[C@@H]([C@H](C(=O)O)O)(C(=O)O)O.O	4-[(1R)-2-amino-1-hydroxyethyl]benzene-1,2-diol;(2R,3R)-2,3-dihydroxybutanedioic acid;hydrate	C1=CC(=C(C=C1[C@H](CN)O)O)O.[C@@H]([C@H](C(=O)O)O)(C(=O)O)O.O	3047796	
Quetiapine Fumarate	DL557	1-G06	C1CN(CCN1CCOCCO)C2=NC3=CC=CC=C3SC4=CC=CC=C42.C1CN(CCN1CCOCCO)C2=NC3=CC=CC=C3SC4=CC=CC=C42.C(=C/C(=O)O)\C(=O)O	2-[2-(4-benzo[b][1,4]benzothiazepin-6-ylpiperazin-1-yl)ethoxy]ethanol;(E)-but-2-enedioic acid	2-[2-(4-benzo[b][1,4]benzothiazepin-6-ylpiperazin-1-yl)ethoxy]ethanol;(E)-but-2-enedioic acid	5281025	
Imipramine·HCl	AC813	1-G07	CN(C)CCCN1C2=CC=CC=C2CCC3=CC=CC=C31.Cl	3-(5,6-dihydrobenzo[b][1]benzazepin-11-yl)-N,N-dimethylpropan-1-amine;hydrochloride	3-(5,6-dihydrobenzo[b][1]benzazepin-11-yl)-N,N-dimethylpropan-1-amine;hydrochloride	8228	
Amoxapine	AC814	1-G08	C1CN(CCN1)C2=NC3=CC=CC=C3OC4=C2C=C(C=C4)Cl	8-chloro-6-piperazin-1-ylbenzo[b][1,4]benzoxazepine	8-chloro-6-piperazin-1-ylbenzo[b][1,4]benzoxazepine	2170	DB00543
Metoclopramide·HCl	AC840	1-G09	CCN(CC)CCNC(=O)C1=CC(=C(C=C1OC)N)Cl.Cl	4-amino-5-chloro-N-[2-(diethylamino)ethyl]-2-methoxybenzamide;hydrochloride	4-amino-5-chloro-N-[2-(diethylamino)ethyl]-2-methoxybenzamide;hydrochloride	4168	DB01233
